store_name,aliases,address,phone,days,open,close,notes,source_url
士林店,台北士林店;屈臣氏士林店;士林;士林店門市;士林店,台北市士林區中正路285號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
士捷店,台北士捷店;屈臣氏士捷店;士捷;士捷店門市;士捷店,台北市士林區中正路243號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
民捷店,台北民捷店;屈臣氏民捷店;民捷;民捷店門市;民捷店,台北市中山區民權西路64號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
劍潭店,台北劍潭店;屈臣氏劍潭店;劍潭;劍潭店門市;劍潭店,台北市士林區大東路11之7號1樓-4樓,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
復興店,台北復興店;屈臣氏復興店;復興;復興店門市;復興店,台北市松山區南京東路三段259號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
復北店,台北復北店;屈臣氏復北店;復北;復北店門市;復北店,台北市中山區復興北路60號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
松壽店,台北松壽店;屈臣氏松壽店;松壽;松壽店門市;松壽店,台北市信義區松壽路12號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
永吉店,台北永吉店;屈臣氏永吉店;永吉;永吉店門市;永吉店,台北市信義區忠孝東路五段165巷1號1樓,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
錦州店,台北錦州店;屈臣氏錦州店;錦州;錦州店門市;錦州店,台北市中山區錦州街448號1F,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
南京西店,台北南京西店;屈臣氏南京西店;南京西;南京西店門市;南京西店,台北市中山區南京西路3-2號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
漢中店,台北漢中店;屈臣氏漢中店;漢中;漢中店門市;漢中店,台北市萬華區漢中街131號B1-2F,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
武昌店,台北武昌店;屈臣氏武昌店;武昌;武昌店門市;武昌店,台北市萬華區武昌街二段37、39號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
南西二店,台北南西二店;屈臣氏南西二店;南西二;南西二店門市;南西二店,台北市大同區南京西路42號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
忠孝東店,台北忠孝東店;屈臣氏忠孝東店;忠孝東;忠孝東店門市;忠孝東店,台北市大安區忠孝東路四段339號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
南陽店,台北南陽店;屈臣氏南陽店;南陽;南陽店門市;南陽店,台北市中正區南陽街15號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
林森店,台北林森店;屈臣氏林森店;林森;林森店門市;林森店,台北市中山區林森北路380號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
城中店,台北城中店;屈臣氏城中店;城中;城中店門市;城中店,台北市中正區重慶南路一段56號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
新南京店,台北新南京店;屈臣氏新南京店;新南京;新南京店門市;新南京店,台北市中山區南京東路二段50號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
西門店,台北西門店;屈臣氏西門店;西門;西門店門市;西門店,台北市萬華區成都路15號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
武昌二店,台北武昌二店;屈臣氏武昌二店;武昌二;武昌二店門市;武昌二店,台北市萬華區武昌街二段81、83號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
林森北店,台北林森北店;屈臣氏林森北店;林森北;林森北店門市;林森北店,台北市中山區林森北路131號1F,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
